Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2023-03-02,12:00 AM,50ʡF,36ʡF,58ʡ%,NE,11ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Partly Cloudy
2023-03-02,12:30 AM,50ʡF,36ʡF,58ʡ%,ENE,9ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Partly Cloudy
2023-03-02,1:00 AM,50ʡF,34ʡF,54ʡ%,NE,9ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Partly Cloudy
2023-03-02,1:30 AM,50ʡF,34ʡF,54ʡ%,NE,9ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Partly Cloudy
2023-03-02,2:00 AM,48ʡF,32ʡF,54ʡ%,NE,7ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Partly Cloudy
2023-03-02,2:30 AM,48ʡF,32ʡF,54ʡ%,NNE,4ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,3:00 AM,46ʡF,34ʡF,62ʡ%,ENE,4ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,3:30 AM,46ʡF,32ʡF,57ʡ%,NNE,2ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,4:00 AM,45ʡF,34ʡF,66ʡ%,N,4ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,4:30 AM,45ʡF,36ʡF,71ʡ%,N,4ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,5:00 AM,45ʡF,34ʡF,66ʡ%,N,4ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,5:30 AM,43ʡF,36ʡF,76ʡ%,CALM,0ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,6:00 AM,45ʡF,34ʡF,66ʡ%,CALM,0ʡmph,0ʡmph,30.45ʡin,0.0ʡin,Fair
2023-03-02,6:30 AM,41ʡF,34ʡF,76ʡ%,CALM,0ʡmph,0ʡmph,30.45ʡin,0.0ʡin,Fair
2023-03-02,7:00 AM,41ʡF,36ʡF,81ʡ%,CALM,0ʡmph,0ʡmph,30.45ʡin,0.0ʡin,Fair
2023-03-02,7:30 AM,46ʡF,34ʡF,62ʡ%,N,7ʡmph,0ʡmph,30.45ʡin,0.0ʡin,Haze
2023-03-02,8:00 AM,48ʡF,34ʡF,57ʡ%,NNE,7ʡmph,0ʡmph,30.45ʡin,0.0ʡin,Haze
2023-03-02,8:30 AM,50ʡF,32ʡF,50ʡ%,NNE,9ʡmph,0ʡmph,30.48ʡin,0.0ʡin,Fair
2023-03-02,9:00 AM,52ʡF,30ʡF,44ʡ%,NNE,9ʡmph,0ʡmph,30.48ʡin,0.0ʡin,Fair
2023-03-02,9:30 AM,52ʡF,30ʡF,44ʡ%,NNE,9ʡmph,0ʡmph,30.51ʡin,0.0ʡin,Fair
2023-03-02,10:00 AM,54ʡF,30ʡF,41ʡ%,ENE,9ʡmph,0ʡmph,30.51ʡin,0.0ʡin,Fair
2023-03-02,10:30 AM,55ʡF,28ʡF,36ʡ%,NE,7ʡmph,0ʡmph,30.48ʡin,0.0ʡin,Fair
2023-03-02,11:00 AM,55ʡF,27ʡF,33ʡ%,NE,4ʡmph,0ʡmph,30.48ʡin,0.0ʡin,Fair
2023-03-02,11:30 AM,55ʡF,27ʡF,33ʡ%,E,7ʡmph,0ʡmph,30.48ʡin,0.0ʡin,Fair
2023-03-02,12:00 PM,57ʡF,25ʡF,29ʡ%,ENE,9ʡmph,0ʡmph,30.48ʡin,0.0ʡin,Fair
2023-03-02,12:30 PM,57ʡF,23ʡF,27ʡ%,NE,7ʡmph,0ʡmph,30.45ʡin,0.0ʡin,Fair
2023-03-02,1:00 PM,57ʡF,25ʡF,29ʡ%,ESE,7ʡmph,0ʡmph,30.45ʡin,0.0ʡin,Fair
2023-03-02,1:30 PM,59ʡF,23ʡF,25ʡ%,VAR,2ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,2:00 PM,59ʡF,23ʡF,25ʡ%,NNW,7ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,2:30 PM,59ʡF,25ʡF,27ʡ%,N,9ʡmph,0ʡmph,30.39ʡin,0.0ʡin,Fair
2023-03-02,3:00 PM,59ʡF,25ʡF,27ʡ%,NNW,7ʡmph,0ʡmph,30.39ʡin,0.0ʡin,Fair
2023-03-02,3:30 PM,57ʡF,23ʡF,27ʡ%,N,4ʡmph,0ʡmph,30.39ʡin,0.0ʡin,Fair
2023-03-02,4:00 PM,59ʡF,25ʡF,27ʡ%,NW,7ʡmph,0ʡmph,30.39ʡin,0.0ʡin,Fair
2023-03-02,4:30 PM,59ʡF,25ʡF,27ʡ%,N,7ʡmph,0ʡmph,30.39ʡin,0.0ʡin,Fair
2023-03-02,5:00 PM,57ʡF,25ʡF,29ʡ%,N,9ʡmph,0ʡmph,30.39ʡin,0.0ʡin,Fair
2023-03-02,5:30 PM,57ʡF,23ʡF,27ʡ%,NNE,9ʡmph,0ʡmph,30.39ʡin,0.0ʡin,Fair
2023-03-02,6:00 PM,54ʡF,25ʡF,33ʡ%,ENE,9ʡmph,0ʡmph,30.39ʡin,0.0ʡin,Fair
2023-03-02,6:30 PM,52ʡF,25ʡF,35ʡ%,ENE,11ʡmph,0ʡmph,30.39ʡin,0.0ʡin,Fair
2023-03-02,7:00 PM,50ʡF,27ʡF,40ʡ%,ENE,9ʡmph,0ʡmph,30.39ʡin,0.0ʡin,Fair
2023-03-02,7:30 PM,46ʡF,28ʡF,50ʡ%,ENE,7ʡmph,0ʡmph,30.39ʡin,0.0ʡin,Fair
2023-03-02,8:00 PM,50ʡF,34ʡF,54ʡ%,E,11ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,8:30 PM,48ʡF,37ʡF,66ʡ%,ENE,9ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,9:00 PM,48ʡF,39ʡF,71ʡ%,E,9ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,9:30 PM,46ʡF,37ʡF,71ʡ%,E,7ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,10:00 PM,46ʡF,37ʡF,71ʡ%,E,9ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,10:30 PM,45ʡF,37ʡF,76ʡ%,E,7ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
2023-03-02,11:00 PM,45ʡF,37ʡF,76ʡ%,E,9ʡmph,0ʡmph,30.39ʡin,0.0ʡin,Fair
2023-03-02,11:30 PM,45ʡF,37ʡF,76ʡ%,E,7ʡmph,0ʡmph,30.42ʡin,0.0ʡin,Fair
